Time,data
2133779849.1539602,-0.26797855006025156
2133779849.19313,-0.2491974675769148
2133779849.2337859,-0.23264317843167326
2133779849.2730837,-0.23264317843167326
2133779849.3133867,-0.298524921836402
2133779849.353758,-0.2796451283601743
2133779849.3933012,-0.2650579169675956
2133779849.4342132,-0.305712704325135
2133779849.4737263,-0.28958680288365424
2133779849.514954,-0.2732106196842755
2133779849.5537012,-0.2872559173367115
2133779849.5934205,-0.2673334015546561
2133779849.634046,-0.24502897165563683
2133779849.6735854,-0.24031019253209057
2133779849.7150114,-0.21064468887357216
2133779849.753907,-0.17849836394174012
2133779849.7930157,-0.17849836394174012
2133779849.8343291,-0.18147115983875053
2133779849.8742576,-0.1595707971212538
2133779849.9138327,-0.12173856665700297
2133779849.9541967,-0.12115805689748255
2133779849.994079,-0.0949968131925435
2133779850.0339277,-0.06831959669010965
2133779850.0754466,-0.05831376961899262
2133779850.114013,-0.05831376961899262
2133779850.1546068,-0.020288867078889716
2133779850.1946065,0.02481763499128048
2133779850.234179,0.03650070912484121
2133779850.274504,0.05724997359257722
2133779850.3143663,0.06439693367301175
2133779850.353864,0.09138129151911234
2133779850.3946006,0.11363496732646128
2133779850.4334266,0.13669486415141185
2133779850.4740968,0.14466728280223523
2133779850.5154972,0.1682378332912272
2133779850.5551946,0.1682378332912272
2133779850.5941427,0.22660268786703286
2133779850.6360524,0.36
2133779850.674805,0.36
2133779850.7140121,0.36
2133779850.7553024,0.36
2133779850.7936547,0.36
2133779850.834222,0.36
2133779850.8751693,0.36
2133779850.914943,0.36
2133779850.9544501,0.36
2133779850.9944441,0.36
2133779851.0338573,0.36
2133779851.0750241,0.36
2133779851.1135204,0.36
2133779851.154358,0.36
2133779851.1943474,0.36
2133779851.2342656,0.36
2133779851.2737298,0.36
2133779851.315764,0.36
2133779851.3537962,0.36
2133779851.3955054,0.36
2133779851.4342427,0.36
2133779851.4738395,0.36
2133779851.5144958,0.36
2133779851.5542066,0.36
2133779851.594086,0.36
2133779851.6330295,0.36
2133779851.6728067,0.36
2133779851.7136981,0.36
2133779851.755602,0.36
2133779851.793808,0.36
2133779851.8345616,0.36
2133779851.874128,0.3787676645213021
2133779851.9135325,0.3757226420972027
2133779851.9544115,0.37172780740744044
2133779851.9945793,0.3709168812924166
2133779852.0347161,0.3650189970795135
2133779852.073639,0.3436613623117907
2133779852.1138544,0.3353820875825557
2133779852.1542106,0.31301041660244083
2133779852.194892,0.28902237549506765
2133779852.2346272,0.31644391529751803
2133779852.2734265,0.32232161683458843
2133779852.3134332,0.26162796888044815
2133779852.3553853,0.22198989818839895
2133779852.3934221,0.253662284576171
2133779852.433202,0.23454457771805223
2133779852.473022,0.22487885095894966
2133779852.5149407,0.19409056419106
2133779852.5540123,0.19409056419106
2133779852.5944488,0.17027687635620853
2133779852.6334062,0.15157663473766067
2133779852.6736994,0.14410624002293937
2133779852.7131226,0.12892021733937695
2133779852.753436,0.12453702599269165
2133779852.7933517,0.12453702599269165
2133779852.8333838,0.09546491752041143
2133779852.874317,0.06723106128513712
2133779852.9144526,0.043380590951925424
2133779852.9540703,0.043380590951925424
2133779852.995852,-0.0005979701400761206
2133779853.0335672,0.003602813454768025
2133779853.0761144,-0.011353563073167962
2133779853.1135838,-0.04994115043012829
2133779853.1538534,-0.09794640269956131
2133779853.193318,-0.11152044435285541
2133779853.233605,-0.1387005025505295
2133779853.2732575,-0.176586550476257
2133779853.3131666,-0.20394376425185
2133779853.3533373,-0.23102252561832393
2133779853.394889,-0.2361693708704683
2133779853.4349291,-0.21009854164177816
2133779853.4732287,-0.24944489571890466
2133779853.51553,-0.36
2133779853.5535204,-0.36
2133779853.5939736,-0.36
2133779853.6329963,-0.36
2133779853.674287,-0.36
2133779853.713862,-0.36
2133779853.7529788,-0.36
2133779853.793788,-0.36
2133779853.8338776,-0.36
2133779853.873306,-0.36
2133779853.9129412,-0.36
2133779853.9537463,-0.36
2133779853.9936695,-0.36
2133779854.0333738,-0.36
